Order ID,Order Date,Customer ID,Product Name,Category,Sub-Category,Region,Country,City,Quantity,Unit Price,Discount (%),Total Sales,Profit,Shipping Cost,Order Priority,Sales Rep,Warehouse Code,Profit Margin (%)
O-1317,2024-09-19,C-5646,Professor X,Furniture,Chairs,Europe,UK,Coxfurt,7.0,189.79,0.04,1275.39,278.26,7.27,High,Kimberly Lindsey,W1,21.82
O-1669,2025-01-09,C-9593,Something Plus,Furniture,Chairs,Europe,UK,Port Jeffrey,7.0,478.1,0.04,3212.83,563.43,9.35,Medium,Chad Hogan,W1,17.54
O-3737,2024-09-30,C-3841,Agree X,Apparel,Shoes,Europe,UK,East Autumnmouth,6.0,470.65,0.29,2004.97,456.77,42.39,High,Timothy Clark,W1,22.78
O-6869,2024-10-04,C-5278,Room Plus,Electronics,Laptops,Asia,India,Cynthiabury,13.0,405.23,0.14,4530.47,582.18,25.73,Low,Tara Burton,W3,12.85
O-7695,2025-04-13,C-4157,Become X,Apparel,Shirts,Asia,China,Carrillofort,8.0,783.74,0.29,4451.64,982.12,47.06,Medium,Margaret Vazquez,W1,22.06
O-4634,2024-11-10,C-9803,Whom Plus,Furniture,Chairs,Asia,Japan,South Douglasfurt,15.0,584.34,0.3,6135.57,1623.07,41.02,High,Robert Chen,W3,26.45
O-8184,2024-08-31,C-8331,Piece Mini,Electronics,Laptops,North America,Canada,East Dawnton,4.0,347.79,0.01,1377.25,354.53,5.99,Low,Natalie Johnson,W3,25.74
O-7415,2025-04-06,C-1438,General X,Electronics,Laptops,Asia,India,Baileyton,10.0,173.43,0.22,1352.75,386.87,23.02,Medium,Meghan Williamson,W3,28.6
O-7451,2025-06-13,C-8798,High Pro,Furniture,Chairs,Europe,Germany,Jasonton,13.0,254.42,0.19,2679.04,617.02,13.19,Low,Kayla Shea,W4,23.03
O-9715,2024-08-07,C-4591,Month X,Electronics,Tablets,Asia,India,South Vanessa,13.0,930.51,0.29,8588.61,2268.05,26.44,High,Michael Beard,W1,26.41
O-8983,2025-01-20,C-2260,He Mini,Furniture,Tables,North America,Canada,Port Gregoryberg,20.0,720.19,0.24,10946.89,1114.9,27.51,Low,Dana Freeman,W2,10.18
O-7177,2025-05-11,C-1368,Always Pro,Electronics,Phones,Europe,France,East Ashley,20.0,24.61,0.16,413.45,73.11,49.3,Medium,Carlos Stephens,W1,17.68
O-7291,2025-06-21,C-1745,Small Mini,Furniture,Sofas,Asia,India,Wilsonfurt,16.0,334.6,0.05,5085.92,1039.6,39.73,Medium,Jose Soto,W2,20.44
O-2675,2024-09-28,C-3150,Blue Plus,Furniture,Sofas,North America,USA,Bennettville,8.0,515.39,0.16,3463.42,846.77,9.82,High,Andrew Ramirez,W1,24.45
O-1724,2024-08-24,C-2203,Hundred Plus,Electronics,Phones,North America,USA,New Christinetown,4.0,947.94,0.15,3223.0,953.69,13.95,High,Kurt Stewart,W1,29.59
O-4780,2024-11-27,C-5705,Live Mini,Apparel,Shoes,Europe,UK,Hernandeztown,8.0,64.4,0.16,432.77,80.68,10.8,High,Elizabeth Graham,W1,18.64
O-9595,2025-02-01,C-6785,Size Mini,Electronics,Tablets,Asia,China,Stoutton,16.0,910.81,0.27,10638.26,1726.93,26.88,Low,Frank Brown,W3,16.23
O-7144,2025-01-15,C-3430,To Mini,Apparel,Shirts,Europe,UK,Jessicaside,15.0,23.35,0.21,276.7,63.29,47.24,High,Hayley Wilson,W4,22.87
O-1097,2024-09-09,C-4343,Middle X,Apparel,Jackets,Europe,UK,Perrymouth,19.0,199.5,0.09,3449.36,589.73,9.74,High,Michael Pierce,W2,17.1
O-3834,2024-12-19,C-6118,Reduce Plus,Furniture,Sofas,North America,USA,Adamsview,8.0,854.24,0.26,5057.1,532.5,15.41,Low,Michael Rose,W1,10.53
O-2204,2025-02-20,C-9884,Outside X,Furniture,Sofas,Asia,Japan,South Brianna,10.0,502.0,0.18,4116.4,1064.82,37.77,High,Cameron Sanchez,W4,25.87
O-8411,2024-09-06,C-8315,Practice Plus,Electronics,Tablets,Europe,France,Jamestown,3.0,710.33,0.23,1640.86,395.7,45.23,Low,Willie Chen,W3,24.12
O-3586,2025-05-18,C-8688,Know X,Electronics,Tablets,North America,USA,Port Jaredmouth,18.0,678.09,0.02,11961.51,1303.83,33.12,Low,Phillip George,W1,10.9
O-7292,2024-10-06,C-5502,Wind Mini,Apparel,Jackets,Europe,Germany,North Michael,7.0,561.2,0.29,2789.16,319.8,13.77,High,John Navarro,W1,11.47
O-4316,2025-04-23,C-1949,Study X,Apparel,Shirts,North America,USA,Kaiserton,5.0,308.64,0.03,1496.9,330.54,49.94,High,Andrew James,W1,22.08
O-6997,2025-04-26,C-1186,Chance X,Electronics,Tablets,Asia,India,New Angela,1.0,567.01,0.23,436.6,46.75,29.7,Medium,Alexandra Cruz,W4,10.71
O-3111,2024-08-01,C-7059,Common Plus,Furniture,Tables,North America,Canada,South Toni,5.0,252.37,0.1,1135.66,203.46,45.67,High,Jon Whitehead,W4,17.92
O-2836,2024-12-17,C-9724,Share Pro,Apparel,Shirts,Europe,France,Lake Markburgh,8.0,958.55,0.13,6671.51,1699.2,21.59,Medium,Kaitlyn Boyd,W3,25.47
O-1787,2025-06-14,C-1170,During Pro,Furniture,Tables,North America,USA,Johnsonberg,15.0,201.87,0.3,2119.64,571.79,30.8,High,Rachel Armstrong,W3,26.98
O-9910,2024-11-10,C-6181,Student Plus,Furniture,Chairs,North America,Canada,South Danielbury,11.0,922.48,0.1,9132.55,2049.42,23.39,Low,Caleb Dominguez,W3,22.44
O-4505,2024-10-13,C-1026,Meeting Plus,Electronics,Tablets,Asia,China,Charlesmouth,11.0,674.1,0.27,5413.02,1128.66,5.16,Medium,Juan Harvey,W3,20.85
O-6378,2025-04-19,C-1077,On Plus,Furniture,Sofas,Asia,India,Port David,9.0,143.85,0.28,932.15,122.91,48.01,High,Gabriel Chandler,W4,13.19
O-4441,2025-02-18,C-1854,Nature X,Electronics,Phones,Asia,India,East Joshua,18.0,219.39,0.13,3435.65,500.09,15.35,Low,James Phillips,W3,14.56
O-3434,2024-11-11,C-3954,Hold Pro,Electronics,Laptops,North America,USA,Lake Kelli,4.0,763.51,0.24,2321.07,366.12,13.96,Medium,Andrew Ayala,W2,15.77
O-4745,2025-02-10,C-6732,Build Plus,Furniture,Chairs,Asia,India,Taylorland,9.0,816.16,0.06,6904.71,1513.57,30.03,Low,Joseph Aguilar,W1,21.92
O-8892,2024-08-09,C-2659,Cell Plus,Electronics,Tablets,North America,USA,Andrewton,7.0,452.95,0.27,2314.57,357.44,33.99,High,Joseph Williams,W4,15.44
O-7702,2025-01-07,C-4248,Political Plus,Apparel,Shoes,Europe,France,Sanchezchester,8.0,164.05,0.24,997.42,153.31,27.49,Low,Alan Cooper,W2,15.37
O-5054,2025-02-06,C-7782,Concern Plus,Electronics,Tablets,North America,Canada,Carlberg,4.0,292.51,0.17,971.13,270.52,43.3,Medium,Laurie Simpson,W3,27.86
O-2189,2025-01-27,C-4356,Describe Plus,Apparel,Shirts,North America,Canada,Millerview,18.0,569.81,0.09,9333.49,2786.64,42.73,High,Rachel Wright,W2,29.86
O-6980,2025-06-09,C-8574,Value Plus,Apparel,Shoes,North America,Canada,New Michealhaven,13.0,699.15,0.18,7452.94,1628.04,28.68,High,Joseph Graham,W4,21.84
O-3397,2024-08-08,C-9123,Quickly X,Apparel,Shirts,Europe,UK,Jeanettefort,7.0,378.87,0.14,2280.8,404.18,24.87,High,Rachel Hawkins,W2,17.72
O-8802,2024-08-28,C-7807,Staff X,Furniture,Chairs,Asia,Japan,Howardmouth,4.0,224.73,0.05,853.97,195.81,45.86,Medium,Tony Gonzalez,W3,22.93
O-8029,2024-07-30,C-8963,Kid Pro,Furniture,Sofas,Asia,China,West Blakebury,17.0,530.27,0.27,6580.65,1730.12,44.87,High,Megan Frey,W2,26.29
O-4751,2024-10-29,C-6098,Five Plus,Electronics,Phones,Europe,Germany,East Randallchester,19.0,644.44,0.09,11142.37,3290.4,49.58,Medium,Austin Leach,W3,29.53
O-5099,2025-07-13,C-6785,Government Mini,Furniture,Chairs,Asia,India,Toddtown,4.0,321.79,0.18,1055.47,254.46,5.35,Medium,Michael Johnson,W4,24.11
O-4743,2024-12-29,C-5171,Hand Plus,Apparel,Shoes,Asia,China,West Madisonhaven,12.0,10.43,0.12,110.14,19.43,37.45,Medium,David Johnston,W3,17.64
O-6434,2025-04-09,C-8491,Inside Plus,Furniture,Sofas,North America,Canada,Port Dwayne,11.0,590.32,0.05,6168.84,1748.47,6.19,High,Jeffrey Young,W2,28.34
O-5177,2024-08-15,C-1786,Always Plus,Furniture,Tables,North America,Canada,North Christine,3.0,690.16,0.03,2008.37,297.45,41.63,Medium,Janet Sullivan,W1,14.81
O-9335,2025-02-02,C-4989,Radio X,Electronics,Tablets,Europe,Germany,Davisfurt,8.0,964.3,0.03,7482.97,1291.28,28.93,Low,Marie Phillips,W3,17.26
O-1930,2025-07-12,C-2347,Sea Mini,Electronics,Laptops,North America,Canada,Humphreyburgh,4.0,798.83,0.12,2811.88,741.51,13.25,High,Sierra Johnson,W4,26.37
O-5733,2025-04-03,C-3524,Community Plus,Apparel,Jackets,Europe,Germany,Roberthaven,2.0,746.14,0.12,1313.21,274.27,18.54,High,Mackenzie Page,W2,20.89
O-4232,2025-04-15,C-2118,Action Plus,Furniture,Chairs,Europe,UK,Hansenview,1.0,493.34,0.11,439.07,68.33,26.66,High,Alexis Burke,W1,15.56
O-4069,2024-10-13,C-9802,Off Pro,Electronics,Laptops,North America,Canada,Thomastown,15.0,610.63,0.21,7235.97,1371.43,27.41,Medium,Janet Rhodes,W3,18.95
O-5422,2024-11-05,C-4813,Beautiful Plus,Electronics,Tablets,Asia,China,Terrimouth,6.0,494.89,0.25,2227.01,320.41,26.44,Low,Vanessa Davis,W4,14.39
O-7597,2024-09-06,C-7766,Force Plus,Furniture,Tables,Europe,France,Gordonmouth,1.0,82.14,0.03,79.68,22.51,31.24,High,Anthony Mitchell,W3,28.25
O-2074,2025-02-19,C-6716,Film Plus,Apparel,Shoes,Europe,France,West Robertville,11.0,21.14,0.06,218.59,33.87,31.51,Medium,Jonathan Doyle,W3,15.49
O-2950,2025-06-23,C-4812,Create X,Electronics,Phones,Europe,Germany,North Ambertown,20.0,305.43,0.22,4764.71,1180.2,42.59,Low,Kelly Anderson,W4,24.77
O-7614,2024-11-14,C-8639,Set X,Apparel,Shirts,Europe,France,Elizabethfort,1.0,466.77,0.11,415.43,99.65,40.25,Medium,Michael Smith,W3,23.99
O-1643,2025-03-18,C-8092,Mrs Pro,Apparel,Shirts,Europe,Germany,Andreahaven,7.0,410.28,0.14,2469.89,496.24,27.38,High,Alexandra Cobb,W2,20.09
O-4454,2024-09-26,C-3828,Eat Plus,Furniture,Chairs,North America,USA,Courtneyhaven,20.0,954.48,0.24,14508.1,2499.79,7.83,Low,Kyle Cross,W4,17.23
O-8990,2024-11-15,C-8216,Share Plus,Apparel,Shoes,Europe,France,North Shawn,12.0,883.27,0.27,7737.45,1595.3,45.62,Low,Charles Aguilar,W3,20.62
O-9252,2025-06-17,C-7860,Write Plus,Apparel,Jackets,North America,Canada,Bryanchester,6.0,84.77,0.2,406.9,59.38,16.49,High,Joshua Love,W1,14.59
O-9722,2025-03-25,C-6066,Might Pro,Furniture,Sofas,Europe,France,Lindahaven,15.0,38.87,0.28,419.8,64.83,42.52,Low,Amanda Gonzalez,W1,15.44
O-5787,2024-12-31,C-2178,Describe Mini,Apparel,Shirts,Europe,Germany,East Angela,5.0,161.01,0.28,579.64,157.44,13.35,Medium,Daniel Chavez,W3,27.16
O-2583,2025-05-25,C-9031,Hand Pro,Electronics,Laptops,Asia,India,North Toddburgh,9.0,486.07,0.16,3674.69,368.03,42.66,High,Angela Frazier,W3,10.02
O-7176,2024-09-26,C-9802,Admit Pro,Furniture,Tables,North America,Canada,New Adrian,5.0,221.97,0.27,810.19,81.92,29.28,Medium,Aaron Marshall,W4,10.11
O-4600,2024-08-26,C-9362,Page Mini,Furniture,Chairs,Europe,Germany,Delgadobury,15.0,914.75,0.23,10565.36,2156.77,20.61,High,Michael Booker,W1,20.41
O-1125,2025-03-21,C-6172,Really Mini,Electronics,Phones,Europe,France,West Aprilstad,10.0,255.84,0.14,2200.22,376.95,47.54,High,Nicole Smith,W2,17.13
O-2552,2025-02-05,C-7462,Difference Mini,Electronics,Laptops,Europe,France,Howellmouth,2.0,235.0,0.01,465.3,137.75,47.16,Medium,Paula Robinson,W4,29.6
O-4413,2025-06-27,C-6465,Story Mini,Apparel,Shoes,Asia,India,East Jamie,19.0,552.29,0.22,8184.94,833.01,26.1,Low,Karen Hall,W2,10.18
O-1440,2024-08-31,C-7198,Weight Plus,Apparel,Shirts,North America,Canada,Port Daniel,17.0,656.01,0.12,9813.91,1298.12,9.88,Medium,Timothy Meyer,W4,13.23
O-6389,2025-04-03,C-4659,White Plus,Apparel,Jackets,Asia,India,East Angelafort,11.0,619.74,0.05,6476.28,1822.2,21.46,Medium,Alexander Brown,W4,28.14
O-3049,2025-04-23,C-8022,Marriage Pro,Electronics,Laptops,Asia,India,Martintown,6.0,214.71,0.25,966.19,99.95,13.61,Medium,Richard Stein,W4,10.34
O-4531,2025-05-09,C-3531,Each Pro,Electronics,Phones,North America,Canada,South Brian,5.0,944.99,0.27,3449.21,653.45,38.69,High,Donna Smith,W3,18.94
O-5167,2024-10-02,C-8859,Assume X,Apparel,Shoes,Europe,UK,Katherinemouth,7.0,971.77,0.02,6666.34,1681.73,17.47,Low,Darren Cox,W3,25.23
O-4829,2024-12-01,C-3276,Against Pro,Furniture,Tables,Asia,India,Allisonmouth,5.0,10.9,0.12,47.96,9.41,39.41,Low,Danielle Cox,W4,19.62
O-2514,2024-12-11,C-1196,Anyone Mini,Electronics,Laptops,Asia,China,Herringville,6.0,829.78,0.29,3534.86,749.78,40.05,Medium,Nancy Edwards,W1,21.21
O-8008,2024-11-03,C-2209,Us X,Furniture,Sofas,Europe,France,Port Heidi,11.0,982.65,0.22,8431.14,875.71,44.84,High,Anthony Price,W4,10.39
O-5987,2025-03-08,C-1281,Tonight Mini,Electronics,Tablets,Asia,India,East Tracyhaven,5.0,960.75,0.23,3698.89,798.99,30.95,High,Joseph Hopkins,W4,21.6
O-1217,2025-04-20,C-8445,Necessary Mini,Furniture,Tables,North America,USA,West Lucasmouth,16.0,143.81,0.19,1863.78,346.57,30.01,Medium,Ashley Cooper,W3,18.6
O-9174,2024-11-17,C-9238,Wife Mini,Apparel,Shirts,Asia,China,East Bill,6.0,502.06,0.19,2440.01,418.58,48.31,Medium,Natalie Fernandez,W4,17.15
O-4974,2025-02-20,C-7584,Good Plus,Furniture,Tables,Asia,India,West Tracyborough,12.0,778.69,0.2,7475.42,1289.79,19.8,Low,Samuel Chandler,W1,17.25
O-6774,2024-11-18,C-2681,Mission X,Apparel,Jackets,North America,Canada,New Jose,16.0,948.91,0.2,12146.05,3399.99,9.12,High,Patricia Dean,W4,27.99
O-7537,2025-06-24,C-7697,Report Plus,Electronics,Laptops,North America,Canada,Nicolefurt,18.0,960.95,0.22,13491.74,1365.24,15.19,High,Stephanie Gutierrez,W2,10.12
O-4778,2024-10-02,C-5976,Man Pro,Apparel,Shirts,Asia,China,New Jaime,4.0,617.22,0.14,2123.24,589.67,19.54,Medium,Amy Burch,W1,27.77
O-2860,2024-12-15,C-4714,Along X,Electronics,Tablets,Asia,India,West Dawnfurt,12.0,213.67,0.1,2307.64,527.64,8.44,Medium,Thomas Warren,W3,22.86
O-4300,2024-10-10,C-3839,Even Pro,Furniture,Sofas,Europe,Germany,Samanthabury,11.0,807.17,0.26,6570.36,1103.62,49.88,Medium,Arthur Cox,W2,16.8
O-3584,2025-01-17,C-2999,Recently Plus,Apparel,Shoes,Asia,China,West Miguelland,12.0,95.65,0.14,987.11,190.12,34.33,Medium,Kelly Hayes,W2,19.26
O-8605,2025-07-13,C-6638,Hot Pro,Electronics,Laptops,North America,Canada,Joshuaburgh,9.0,540.1,0.03,4715.07,981.27,49.92,High,Bruce Hurley,W1,20.81
O-1820,2024-09-25,C-1741,Born Mini,Electronics,Phones,North America,USA,Christianchester,18.0,972.93,0.07,16286.85,3513.9,39.56,High,Michael Kim,W4,21.58
O-2606,2025-02-21,C-4840,Role X,Electronics,Tablets,Europe,UK,South Davidfurt,14.0,176.05,0.04,2366.11,307.91,29.34,Medium,Amy Huang,W4,13.01
O-1082,2025-01-02,C-3940,Church X,Apparel,Shirts,North America,Canada,South Nicholas,12.0,651.72,0.12,6882.16,1978.61,43.31,Medium,Fred Campbell,W3,28.75
O-1195,2024-10-20,C-1780,Bit Mini,Furniture,Tables,Asia,China,North Katie,10.0,867.86,0.05,8244.67,1576.22,18.13,Low,Danielle Johnson,W4,19.12
O-2080,2025-05-29,C-6357,Agreement Mini,Furniture,Tables,North America,Canada,Wheelermouth,15.0,366.37,0.3,3846.88,645.84,30.41,Low,Barbara Davis,W1,16.79
