Order ID,Order Date,Customer ID,Product Name,Category,Sub-Category,Region,Country,City,Quantity,Unit Price,Discount (%),Total Sales,Profit,Shipping Cost,Order Priority,Sales Rep,Warehouse Code
O-100025,2025-07-07,C-3404,Break Plus,Apparel,Jackets,Europe,UK,East Christian,17,454.91,,7733.47,1604.31,,,,
O-100026,2025-05-09,C-5657,Dog Pro,Apparel,Shoes,Asia,China,Jacobside,2,252.52,,505.04,,,,Nicholas Martinez,
O-100027,2025-03-20,C-7280,Be X,Apparel,Shirts,Europe,France,Colleenburgh,3,630.18,,1890.54,,,Medium,Luis Cisneros,
O-100028,2024-08-22,C-5911,Leg Pro,Furniture,Sofas,North America,USA,South Daniellemouth,13,378.39,0.09,4476.35,,,,,
O-100029,2025-03-01,C-8142,Court X,Apparel,Shirts,Asia,China,New Tammy,15,90.57,,1358.55,,23.66,,,
O-100030,2025-05-09,C-9866,Us Plus,Electronics,Laptops,North America,Canada,South Tanyahaven,18,13.53,,243.54,,,,,
O-100031,2025-01-06,C-1109,Yard Pro,Apparel,Jackets,North America,Canada,East Cynthiabury,5,242.12,,1210.6,,,,,W3
O-100032,2025-04-11,C-1289,Pretty Plus,Electronics,Phones,Asia,China,Zacharyborough,6,148.51,0.27,650.47,,,,,
O-100033,2024-09-02,C-2434,Father Mini,Furniture,Chairs,North America,Canada,Andersonborough,13,78.48,,1020.24,,,High,,
O-100034,2024-10-06,C-8567,Two Pro,Apparel,Jackets,Europe,France,Shermanview,6,336.2,,2017.2,,,,Lisa Blackburn,W1
O-100035,2024-12-16,C-6233,Market Mini,Electronics,Laptops,Europe,Germany,Michaelburgh,2,125.27,0.06,235.51,,,,,
O-100036,2025-01-25,C-7425,Provide Mini,Furniture,Tables,Asia,India,Port Danview,18,978.24,,17608.32,,,,,
O-100037,2025-03-11,C-5130,Group X,Apparel,Shoes,North America,USA,Bobbyshire,8,556.84,,4454.72,,,,,
O-100038,2024-10-02,C-6015,Mean Pro,Furniture,Tables,Asia,Japan,West Mackenzie,15,488.7,0.13,6377.53,,,,,
O-100039,2025-02-07,C-3438,Feeling Plus,Furniture,Sofas,Asia,India,East Anthonychester,5,337.11,,1685.55,,,,,
O-100040,2025-06-19,C-8319,Green Pro,Electronics,Tablets,Asia,Japan,Martinburgh,10,269.2,0.15,2288.2,406.73,,,,
O-100041,2025-02-14,C-6072,Third Pro,Apparel,Jackets,Europe,UK,Dukehaven,16,33.11,,529.76,,46.25,,,W3
O-100042,2025-04-06,C-7064,Challenge X,Apparel,Shirts,North America,Canada,Gloriaville,16,250.42,,4006.72,,36.14,,,
O-100043,2025-03-20,C-1744,Indicate Plus,Electronics,Laptops,Europe,UK,East Jonathanburgh,11,890.39,,9794.29,,,,,
O-100044,2025-05-01,C-6177,Your Plus,Apparel,Jackets,North America,USA,Cobbhaven,1,986.38,,986.38,,,High,,
O-100045,2025-06-22,C-2156,Happy Mini,Furniture,Chairs,Europe,France,Lisahaven,19,753.1,,14308.9,,,,,
O-100046,2024-10-16,C-4502,Become Pro,Apparel,Shoes,Europe,France,Lyonshaven,1,304.33,,304.33,,,,,
O-100047,2024-11-07,C-1404,Former Mini,Furniture,Chairs,North America,USA,Edwardton,13,590.64,,7678.32,,,,,
O-100048,2024-10-16,C-9733,Away Mini,Apparel,Jackets,North America,USA,Claytonbury,4,734.4,,2937.6,,,,Nicholas Thomas,
O-100049,2025-06-07,C-1952,Individual X,Apparel,Shirts,Europe,France,Maychester,6,672.72,,4036.32,,,,Thomas Lin,
O-100050,2025-05-24,C-9451,Civil X,Electronics,Tablets,North America,USA,Laurabury,11,880.58,,9686.38,,,,,
O-100051,2025-05-04,C-3462,Deep Mini,Furniture,Sofas,Europe,France,Port William,8,161.9,,1295.2,196.37,,,,
O-100052,2025-07-25,C-3053,Herself X,Electronics,Phones,North America,Canada,Farleychester,18,727.06,0.04,12563.6,,,,Sheri Morse,
O-100053,2025-04-13,C-7938,Public Pro,Furniture,Tables,Europe,France,Doyleburgh,2,729.15,,1458.3,,44.17,Low,,W4
O-100054,2025-07-24,C-3927,Morning Plus,Furniture,Chairs,North America,USA,North Christopherland,14,810.49,,11346.86,,,,,
O-100055,2025-02-12,C-6566,Drive Plus,Electronics,Tablets,Europe,Germany,Jakemouth,7,966.84,,6767.88,,5.25,,,
O-100056,2024-12-11,C-6580,South Pro,Apparel,Jackets,Asia,Japan,Katherinefurt,16,958.46,,15335.36,,,,,
O-100057,2024-12-24,C-3266,Public Plus,Electronics,Laptops,Europe,Germany,New Juanside,19,273.14,0.01,5137.76,,,,,W4
O-100058,2025-01-23,C-2285,Pattern Plus,Furniture,Chairs,Europe,France,Sanchezside,15,476.29,,7144.35,,,,,
O-100059,2025-07-15,C-8501,Suggest X,Electronics,Tablets,North America,USA,East Sydneyview,14,562.2,,7870.8,2348.84,,,,
O-100060,2025-07-08,C-5431,Quickly X,Electronics,Tablets,North America,Canada,Carolynmouth,18,349.3,0.26,4652.68,,,,,
O-100061,2024-10-20,C-3267,Nothing Pro,Electronics,Phones,North America,USA,Elizabethchester,19,817.98,,15541.62,,,,,
O-100062,2025-03-13,C-5198,Watch X,Apparel,Shoes,Asia,Japan,Sophiaview,6,958.62,,5751.72,,,,,W1
O-100063,2025-01-08,C-7209,Theory Mini,Furniture,Sofas,Asia,India,Dennisberg,17,377.24,,6413.08,,,,,
O-100064,2024-10-04,C-4411,Race Mini,Furniture,Sofas,North America,USA,Lake Paulhaven,3,964.7,,2894.1,,,,,W1
O-100065,2024-11-18,C-9069,Impact Plus,Apparel,Shirts,Asia,India,Deborahmouth,8,836.12,0.23,5150.5,,,,,
O-100066,2024-08-24,C-9629,Show Plus,Electronics,Phones,Europe,UK,Saraberg,11,14.16,,155.76,,,,,W4
O-100067,2025-07-04,C-7516,Bad X,Electronics,Tablets,Europe,Germany,Dayview,12,545.01,,6540.12,1000.8,,,,
O-100068,2025-05-01,C-4346,At Pro,Furniture,Chairs,Asia,China,South Ryanshire,14,607.56,,8505.84,,,,Laura Gardner,
O-100069,2025-01-12,C-5486,Would Mini,Apparel,Shirts,Asia,India,Hernandezport,9,901.81,,8116.29,,,Low,,
O-100070,2025-03-09,C-4066,Beat X,Furniture,Sofas,Europe,Germany,East Elizabethside,7,292.57,,2047.99,543.36,,,,
O-100071,2025-03-20,C-7547,Though Pro,Furniture,Sofas,North America,USA,New Derek,15,166.26,,2493.9,,,,,
O-100072,2024-11-09,C-7149,Produce Pro,Electronics,Laptops,Asia,Japan,Meganburgh,12,594.03,,7128.36,,,Medium,,
O-100073,2024-11-12,C-9957,Decision Mini,Electronics,Tablets,North America,USA,East Alyssaburgh,12,538.56,,6462.72,,,,,
O-100074,2024-12-21,C-4433,Foot Mini,Furniture,Sofas,Europe,UK,East Jessica,20,465.7,,9314.0,,5.48,,,W3
O-100075,2025-06-06,C-5069,History Plus,Apparel,Jackets,North America,USA,Michaelberg,18,485.77,,8743.86,,,,,
O-100076,2025-07-13,C-5333,Newspaper Plus,Electronics,Phones,Asia,Japan,Marymouth,1,796.88,,796.88,,18.8,Medium,,
O-100077,2024-12-06,C-6026,Of Plus,Apparel,Shoes,North America,Canada,Marcusbury,18,223.2,,4017.6,411.98,,Medium,,
O-100078,2024-08-30,C-3291,Same Mini,Apparel,Jackets,Asia,China,Stevenview,14,792.55,,11095.7,2476.66,,,,
O-100079,2024-09-27,C-9873,Type Pro,Furniture,Sofas,Europe,Germany,South Robert,15,698.0,,10470.0,,,,,
O-100080,2025-03-21,C-1055,Speak X,Apparel,Shoes,Europe,UK,Lake Eric,9,910.86,,8197.74,,,,,
O-100081,2025-04-02,C-6995,Ahead Pro,Furniture,Tables,Asia,Japan,Morrisstad,4,918.8,,3675.2,,,,Derek Tucker,W1
O-100082,2025-01-12,C-1638,Customer Plus,Furniture,Tables,Europe,Germany,Lake Ashley,20,692.01,,13840.2,,,,,W3
O-100083,2025-04-01,C-5787,Third Plus,Furniture,Tables,Europe,UK,Anitamouth,19,469.31,,8916.89,,,Medium,,
O-100084,2025-02-25,C-4130,Feel Plus,Apparel,Jackets,Asia,China,North Melissa,17,978.16,,16628.72,,,,,
O-100085,2025-06-16,C-5002,Happen Plus,Apparel,Shoes,Europe,France,Kellyland,14,922.08,,12909.12,,,,,W4
O-100086,2025-05-20,C-5528,Movement X,Furniture,Chairs,North America,USA,New Joy,5,255.13,,1275.65,271.53,,,,
O-100087,2025-02-19,C-4871,Shoulder Pro,Furniture,Tables,Europe,France,East Georgeburgh,9,235.28,,2117.52,434.62,18.49,,,
O-100088,2025-02-06,C-9754,Ever Plus,Furniture,Sofas,North America,USA,South Christopher,2,212.88,,425.76,,,High,,
O-100089,2024-11-08,C-7220,Book X,Apparel,Shirts,Europe,Germany,Morrishaven,19,782.31,,14863.89,,,,,
O-100090,2024-12-25,C-9974,Billion Mini,Furniture,Chairs,Asia,Japan,Jamesside,15,501.65,,7524.75,,,,William Cooper,
O-100091,2025-04-06,C-4677,Turn Pro,Apparel,Shoes,Europe,Germany,Cortezfurt,4,961.26,0.21,3037.58,568.21,,Low,Jeffrey Gonzales,
O-100092,2024-12-28,C-2633,Control X,Furniture,Chairs,North America,USA,Robinsonshire,12,308.66,,3703.92,,,,,
O-100093,2025-04-10,C-1494,Hard Plus,Apparel,Shoes,Europe,UK,Caseybury,16,529.36,,8469.76,,,,,
O-100094,2025-02-05,C-8701,Or X,Furniture,Chairs,North America,Canada,Scottton,20,89.98,,1799.6,,42.87,,Robert Bailey,W2
O-100095,2024-12-04,C-8755,Lose Plus,Furniture,Sofas,Europe,UK,Fisherberg,8,238.47,,1907.76,,,,,W2
O-100096,2024-07-27,C-5895,Including X,Apparel,Jackets,Asia,Japan,Scottland,18,922.77,,16609.86,,,,,
O-100097,2024-09-07,C-4482,Skill Mini,Apparel,Jackets,North America,USA,West Margaret,14,78.39,,1097.46,,,,,
O-100098,2025-05-17,C-8124,Like Mini,Electronics,Laptops,Asia,Japan,West Markchester,4,52.98,,211.92,30.89,,,,
O-100099,2024-12-07,C-2412,Five X,Furniture,Sofas,North America,USA,Trevinoberg,6,623.07,,3738.42,,,Medium,,
O-100100,2024-12-10,C-5007,Feeling Mini,Apparel,Jackets,Europe,France,East Stephen,7,676.08,,4732.56,,,,,
O-100101,2024-10-15,C-6635,Enjoy X,Furniture,Tables,Asia,India,Brucemouth,17,396.35,,6737.95,,,,,
O-100102,2025-05-11,C-7460,Rule Pro,Electronics,Phones,Europe,France,Alexanderside,11,541.78,,5959.58,1626.03,,,,
O-100103,2024-09-27,C-4759,Democratic X,Furniture,Sofas,Europe,Germany,New Annamouth,13,829.83,,10787.79,2020.91,8.51,,,
O-100104,2024-09-21,C-7085,Hundred Mini,Electronics,Laptops,Europe,UK,Harrisbury,5,676.66,,3383.3,,16.63,,Heather George,
O-100105,2025-01-01,C-7536,White Mini,Apparel,Jackets,North America,Canada,South Steve,4,761.54,,3046.16,,,,,
O-100106,2024-11-21,C-3930,Within Plus,Electronics,Phones,Asia,India,Port Jamesport,18,526.73,,9481.14,,,,Sara Jackson,
O-100107,2025-01-27,C-5968,Speech Mini,Furniture,Tables,North America,USA,Dawnbury,7,89.41,,625.87,,,,,
O-100108,2024-12-15,C-6827,Really Pro,Electronics,Tablets,North America,USA,New Rachelstad,10,361.0,,3610.0,,,,,
O-100109,2024-10-16,C-1634,Attack X,Electronics,Phones,Europe,Germany,Port Stephanieview,14,348.25,,4875.5,,,,,
O-100110,2024-08-15,C-3997,Figure Pro,Furniture,Tables,North America,Canada,Allenville,17,586.03,0.04,9564.01,,20.03,,,W4
O-100111,2024-08-15,C-8450,Lot X,Furniture,Chairs,Europe,UK,Patrickstad,17,654.85,,11132.45,,,,,W1
O-100112,2025-01-23,C-6331,Pattern Pro,Furniture,Chairs,Europe,France,North Morgan,6,480.55,,2883.3,,,,,
O-100113,2025-07-19,C-4896,Much Pro,Electronics,Tablets,Europe,UK,Port Dennis,12,846.15,,10153.8,,,,,W4
O-100114,2024-08-02,C-1175,Become Pro,Furniture,Tables,Asia,India,Phillipsbury,8,884.75,,7078.0,,,,,
O-100115,2025-03-29,C-3090,Ask Mini,Furniture,Tables,Asia,India,Greenfurt,19,407.7,0.08,7126.6,,21.9,High,Ronald Patel,
O-100116,2024-12-18,C-5180,Try X,Apparel,Jackets,Asia,China,Port Brenda,10,168.31,,1683.1,,,,,
O-100117,2024-11-22,C-6241,Pass Mini,Furniture,Chairs,Asia,India,Dawsonville,17,418.99,,7122.83,,,Low,,W3
O-100118,2025-07-10,C-7648,Life Pro,Furniture,Sofas,Asia,China,New Kevinmouth,16,609.87,,9757.92,,,,,W4
O-100119,2025-03-23,C-1094,Audience X,Furniture,Sofas,Asia,Japan,Douglasstad,11,426.83,,4695.13,681.25,37.8,,,W1
O-100120,2025-06-25,C-1706,Away X,Apparel,Shoes,Europe,France,South Davidburgh,8,634.4,,5075.2,,,,,W4
O-100121,2025-03-29,C-4380,Social Pro,Electronics,Phones,Europe,France,New Jesse,14,314.6,,4404.4,,22.78,,,W3
O-100122,2024-09-07,C-8774,Across Mini,Electronics,Phones,Europe,France,Jeffreyport,17,544.08,,9249.36,,,,,
O-100123,2024-09-03,C-7687,Might Plus,Furniture,Tables,Europe,Germany,West Amanda,8,664.03,,5312.24,,47.62,,,
O-100124,2025-07-05,C-4423,Result Plus,Electronics,Laptops,Europe,Germany,Nunezchester,6,749.0,,4494.0,,,,,W2
O-100125,2024-08-12,C-6154,Standard Pro,Apparel,Shoes,Asia,Japan,Millershire,20,656.68,0.13,11426.23,,,Medium,,
O-100126,2024-08-24,C-7445,Product Plus,Apparel,Shirts,Asia,Japan,South Adam,7,825.05,,5775.35,,,High,,
O-100127,2025-01-19,C-1988,Car Mini,Electronics,Tablets,Asia,China,South Johnport,11,658.55,,7244.05,,,Medium,,W2
O-100128,2024-09-08,C-9102,Upon Pro,Apparel,Shoes,Europe,Germany,Hayesside,9,556.15,,5005.35,,29.19,,,
O-100129,2024-08-04,C-8729,Push Plus,Electronics,Phones,Europe,Germany,Ryanfurt,9,491.48,,4423.32,,,,,
O-100130,2025-06-09,C-5691,Sure X,Apparel,Shirts,Asia,China,Johnsonfort,19,45.03,0.08,787.12,,,,,W3
O-100131,2024-09-08,C-9276,Number Mini,Apparel,Jackets,Europe,Germany,Ashleyhaven,8,366.55,,2932.4,848.54,,High,,
O-100132,2025-07-08,C-5383,Question X,Furniture,Sofas,Asia,India,New Evanville,13,130.21,,1692.73,,49.07,Medium,,
O-100133,2025-04-11,C-3094,Drive Pro,Electronics,Laptops,North America,USA,South Lisaland,10,674.49,,6744.9,,,,,
O-100134,2024-11-12,C-6464,President X,Electronics,Laptops,North America,USA,South Jessica,12,535.83,,6429.96,,,Medium,Michele Douglas,
O-100135,2025-06-14,C-1798,Chair Plus,Apparel,Shirts,Asia,Japan,Jonesmouth,5,414.02,,2070.1,,,,,
O-100136,2025-07-17,C-9129,Ago Mini,Electronics,Tablets,North America,USA,South Michael,18,416.09,,7489.62,,,,Michael Miller,W4
O-100137,2024-10-16,C-9509,Care Pro,Electronics,Laptops,Asia,India,East Justinstad,13,120.88,,1571.44,,,,,
O-100138,2025-02-10,C-2365,Everyone Plus,Apparel,Shoes,North America,USA,Tiffanychester,5,732.4,,3662.0,,,,,
O-100139,2024-12-06,C-7312,Suffer Plus,Furniture,Sofas,North America,USA,Murphyburgh,2,587.25,,1174.5,,,,,
O-100140,2025-04-09,C-9549,Decide Mini,Electronics,Phones,North America,Canada,Mistyborough,20,649.18,,12983.6,,,,,
O-100141,2024-09-29,C-7136,Mind Mini,Apparel,Jackets,North America,Canada,Scottstad,14,203.11,,2843.54,,,,,
O-100142,2024-11-18,C-8904,Today Pro,Apparel,Jackets,Asia,Japan,Ortizfort,18,102.26,,1840.68,,,,,
O-100143,2024-08-20,C-4069,Notice Plus,Apparel,Shoes,Europe,UK,Port Alishachester,4,21.13,,84.52,,,,,
O-100144,2024-12-13,C-6149,Forget Pro,Apparel,Shirts,North America,USA,Russelltown,18,336.88,,6063.84,1526.66,,,,
O-100145,2025-03-01,C-2552,Performance X,Furniture,Chairs,North America,USA,West Erinstad,15,63.75,,956.25,,,,,
O-100146,2024-10-26,C-5907,Way Mini,Furniture,Sofas,Asia,India,West David,19,816.7,,15517.3,,,,Jose Riggs,
O-100147,2024-11-22,C-3628,Environmental X,Apparel,Jackets,Europe,France,Burtonborough,6,205.22,,1231.32,,,,,
O-100148,2024-08-09,C-2856,Wall Pro,Furniture,Tables,Asia,India,Lake Ryan,15,590.9,,8863.5,1722.51,28.29,,,
O-100149,2024-10-21,C-8326,Arrive X,Apparel,Jackets,Asia,India,West Allison,7,808.8,0.01,5604.98,,,,,
O-100150,2024-08-13,C-8524,Out Pro,Electronics,Phones,Europe,Germany,East Christian,10,770.7,0.22,6011.46,,,,Henry Hawkins,
O-100151,2024-09-29,C-8746,Option X,Furniture,Sofas,Asia,India,Lake Davidview,13,854.18,0.26,8217.21,,,Low,,
O-100152,2025-01-20,C-3533,News Mini,Electronics,Laptops,Asia,China,Lake Darrenville,15,941.77,0.2,11301.24,,7.77,,,
O-100153,2025-03-13,C-4703,Happen Mini,Apparel,Jackets,Asia,China,West Rachelhaven,7,304.9,,2134.3,,,,,
O-100154,2025-06-17,C-4994,Writer Mini,Apparel,Shoes,Asia,Japan,East Jonathan,9,314.96,,2834.64,,,,,
O-100155,2024-08-26,C-5008,Anything Plus,Furniture,Chairs,North America,Canada,New Kyle,2,250.15,,500.3,,29.02,,,
O-100156,2024-12-03,C-4931,Suggest Pro,Furniture,Tables,Asia,India,South John,13,929.41,,12082.33,,,,,
O-100157,2025-03-03,C-3670,Sport X,Apparel,Jackets,North America,USA,West Michaelburgh,15,558.89,,8383.35,,,,,
O-100158,2025-04-08,C-5886,Reveal Pro,Furniture,Tables,Asia,China,North Karenchester,12,582.68,,6992.16,,,High,,W4
O-100159,2024-08-09,C-1779,Energy X,Electronics,Laptops,North America,USA,West Christophermouth,17,40.19,,683.23,,,,,
O-100160,2024-10-18,C-1414,Material Plus,Apparel,Jackets,Asia,China,North Timothy,17,231.11,,3928.87,,42.04,,,W1
O-100161,2024-09-30,C-7381,South Mini,Furniture,Tables,North America,Canada,East Nicolemouth,8,798.92,0.2,5113.09,,,,,
O-100162,2025-05-05,C-6607,Marriage Plus,Furniture,Sofas,Europe,France,West Jasonburgh,11,774.73,,8522.03,,,High,,
O-100163,2024-10-15,C-1737,Onto X,Furniture,Tables,North America,USA,East Jason,16,958.57,,15337.12,,,,,
O-100164,2024-09-30,C-6615,Tend Plus,Electronics,Laptops,Europe,UK,Wardfurt,18,641.87,,11553.66,,,,,
O-100165,2024-12-29,C-8942,Well Mini,Furniture,Tables,Europe,France,Haroldbury,5,369.53,0.22,1441.17,,,,Chad Hurley,
O-100166,2025-06-25,C-5706,Site Mini,Electronics,Phones,North America,USA,Millsland,7,660.72,,4625.04,807.61,,Medium,Rachel Lambert,
O-100167,2024-12-03,C-6024,Billion Pro,Electronics,Laptops,Europe,UK,Watkinsburgh,18,478.12,,8606.16,,9.5,,,
O-100168,2024-10-27,C-3202,Rather Plus,Apparel,Jackets,North America,USA,Abigailbury,12,247.18,0.11,2639.88,,14.93,Low,Angela Chambers,
O-100169,2024-08-23,C-9450,Wide X,Furniture,Chairs,Europe,UK,Lake Alexanderhaven,17,357.17,,6071.89,,,,,
O-100170,2024-09-02,C-5238,Leader Plus,Apparel,Jackets,Asia,China,West Kristin,15,731.73,,10975.95,1930.37,,,Jose Johnston,
O-100171,2025-01-24,C-6023,Mention X,Electronics,Tablets,North America,USA,Russellfort,5,86.88,,434.4,,,,,
O-100172,2024-08-30,C-9598,Do Plus,Electronics,Laptops,Asia,India,Knoxport,13,852.26,,11079.38,,46.82,,,
O-100173,2024-11-30,C-1329,Music Mini,Electronics,Laptops,North America,Canada,Haleyland,1,429.43,0.21,339.25,,,,,W3
O-100174,2024-10-27,C-5401,Base X,Electronics,Laptops,Asia,Japan,Amandaburgh,8,502.93,,4023.44,,,,,
O-100175,2024-12-22,C-5945,His X,Electronics,Laptops,Asia,India,Amandaton,14,62.85,,879.9,,,,,W2
O-100176,2025-03-26,C-4908,Write Mini,Apparel,Shirts,North America,Canada,Freemanmouth,16,965.4,,15446.4,,,High,,
O-100177,2025-06-14,C-8343,Election X,Electronics,Laptops,North America,USA,Coreyburgh,18,480.83,,8654.94,2265.69,,,,
O-100178,2025-07-17,C-8210,College Pro,Apparel,Shoes,Asia,India,Hawkinstown,1,215.81,,215.81,,,,Kathleen Terrell,
O-100179,2024-09-01,C-2022,Itself Plus,Apparel,Shoes,Europe,France,Lake Angelica,8,857.05,,6856.4,,,,,
O-100180,2025-04-25,C-4512,Act Mini,Electronics,Tablets,Asia,India,Meganberg,19,200.71,0.23,2936.39,,14.92,,,
O-100181,2024-12-28,C-4551,Heart Plus,Apparel,Shirts,Asia,China,Karashire,18,928.45,,16712.1,,28.41,,,
O-100182,2024-10-17,C-9693,Case Plus,Furniture,Tables,North America,USA,Juanberg,20,229.59,,4591.8,,,,,
O-100183,2024-11-24,C-4688,Control Plus,Furniture,Chairs,Asia,China,Port Kenneth,19,795.14,,15107.66,,,,,
O-100184,2024-07-27,C-4038,Agreement Pro,Electronics,Laptops,North America,Canada,Perezshire,17,336.29,,5716.93,,,,,
O-100185,2024-10-09,C-2072,Fast Plus,Apparel,Shoes,North America,USA,East Jasonton,2,615.7,,1231.4,,,High,Fernando Mckinney,
O-100186,2024-12-15,C-7295,Economy X,Apparel,Shirts,Europe,France,East Brianland,1,273.18,,273.18,,,,,
O-100187,2024-12-24,C-9482,Protect Pro,Electronics,Phones,Asia,Japan,West Robert,4,687.7,,2750.8,,,,Amanda Rich,W4
O-100188,2025-03-29,C-5026,Team X,Apparel,Jackets,North America,Canada,Matthewstad,7,854.27,,5979.89,,,,,
O-100189,2025-05-23,C-3619,Wall Plus,Furniture,Sofas,North America,USA,Lake Sandraside,13,342.91,,4457.83,,,,,
O-100190,2024-11-27,C-1575,Police Pro,Apparel,Shoes,Asia,Japan,South Brittany,20,689.68,,13793.6,,,,,
O-100191,2025-01-07,C-1366,Once Mini,Furniture,Chairs,Asia,India,East Maryview,8,832.29,,6658.32,938.57,,,,
O-100192,2024-12-05,C-3817,Medical Plus,Furniture,Sofas,Europe,France,Fischerstad,20,455.79,0.24,6928.01,,,Low,,W1
O-100193,2024-10-08,C-4643,On Pro,Electronics,Tablets,Asia,China,Port Richardland,4,956.4,,3825.6,,,,Mark Livingston,
O-100194,2025-03-05,C-8121,Teach Mini,Apparel,Jackets,Europe,UK,Lake Lanceland,7,672.85,,4709.95,,,,Mark Rowe,
O-100195,2025-02-04,C-6300,Easy Mini,Electronics,Phones,Asia,Japan,Christopherview,9,818.83,0.13,6411.44,,,High,,
O-100196,2025-03-29,C-2686,Stop X,Electronics,Laptops,North America,Canada,Conwayshire,18,897.13,0.12,14210.54,2530.17,,,,
O-100197,2024-10-18,C-6335,Cost X,Furniture,Chairs,North America,USA,Lake Danielport,4,469.94,,1879.76,,,Low,,W4
O-100198,2025-02-16,C-3381,Court X,Apparel,Shoes,Asia,Japan,Thomasberg,4,130.55,,522.2,,,High,,
O-100199,2025-04-19,C-8991,Eye Plus,Apparel,Shirts,Europe,Germany,West Kristinmouth,4,232.34,0.03,901.48,,41.42,,,W1
O-100200,2025-07-09,C-4351,Question Pro,Apparel,Shoes,Asia,Japan,Jefferyside,7,820.62,,5744.34,,,,Brittany Molina,
O-100201,2025-02-14,C-4303,Listen X,Furniture,Tables,North America,Canada,Port Tim,1,959.76,,959.76,,,,,W3
O-100202,2025-05-16,C-5235,Himself Plus,Apparel,Jackets,Europe,France,Sarahland,11,687.93,,7567.23,,,,,
O-100203,2024-12-26,C-4302,Step Mini,Furniture,Chairs,Asia,China,Greershire,6,408.95,,2453.7,,,Medium,,
O-100204,2024-08-03,C-1084,Visit Pro,Furniture,Tables,Asia,China,South Alejandra,12,690.55,0.28,5966.35,,,,,
O-100205,2024-10-28,C-3075,This X,Apparel,Jackets,North America,Canada,Moralesbury,11,306.53,,3371.83,,,,,
O-100206,2024-09-17,C-4449,Cause Mini,Furniture,Sofas,Europe,Germany,Andreastad,2,454.66,,909.32,,,,,
O-100207,2024-08-03,C-3938,Knowledge Plus,Electronics,Laptops,Europe,France,Amandaborough,13,801.09,,10414.17,,,,,
