Order ID,Order Date,Customer ID,Product Name,Category,Sub-Category,Region,Country,City,Quantity,Unit Price,Discount (%),Total Sales,Profit,Shipping Cost,Order Priority,Sales Rep,Warehouse Code
O-3520,2025-05-25,C-9021,Others X,Electronics,Tablets,Europe,Germany,Crawfordstad,12.0,486.78,0.08,5374.05,559.16,21.12,Low,Jennifer Warner,W1
O-4598,2024-10-28,C-4459,Scientist Plus,Furniture,Sofas,North America,USA,East Brianhaven,10.0,971.63,0.07,9036.16,2385.33,16.19,Low,,W2
O-6239,2025-02-06,,Decision Mini,Furniture,Sofas,Europe,Germany,Port Sabrina,3.0,132.44,0.14,341.7,66.78,10.32,Medium,Alex Cervantes,
O-9058,2024-09-21,C-9218,Tend Plus,Electronics,Tablets,Europe,Germany,North Kimberly,5.0,,0.13,0.0,0.0,8.25,Medium,Laura Zamora,W4
,2025-02-19,C-9479,Direction Mini,Furniture,Tables,Europe,Germany,East Megan,4.0,993.73,,3974.92,921.11,21.25,Low,Ashley Nielsen,W2
O-8269,2024-09-07,C-9451,Or Pro,Electronics,Tablets,North America,USA,Elizabethfort,2.0,,0.14,0.0,0.0,27.53,Low,Michelle Liu,W4
O-2524,2024-08-09,C-2678,Happy Plus,Apparel,Shoes,Europe,France,Jamesborough,17.0,339.98,0.15,4912.71,543.78,16.11,Medium,Andrea Johnson,W2
O-5803,2025-04-13,C-3254,Opportunity Pro,Apparel,Jackets,,China,New Andrea,3.0,791.16,0.16,1993.72,443.0,21.43,Low,,W2
O-4513,2025-04-22,C-6899,Voice X,Furniture,Chairs,Europe,UK,West Dianahaven,1.0,204.1,0.23,157.16,38.6,42.13,Medium,,W1
O-5341,2024-09-03,C-3954,Discussion Plus,Furniture,Chairs,Asia,Japan,West Jesus,18.0,56.22,0.07,941.12,271.09,43.16,Medium,,W4
O-9821,2025-05-17,C-9540,These Pro,Furniture,Chairs,,USA,Reynoldsfort,5.0,307.79,0.09,1400.44,396.1,19.76,High,Elizabeth Schroeder,W1
,2024-11-26,C-6105,Ahead X,Apparel,Shirts,Europe,Germany,Brittanyberg,5.0,401.66,0.27,1466.06,368.88,17.23,High,Thomas Schmitt,W4
O-1005,2025-06-19,C-1970,One Pro,Furniture,Chairs,Asia,China,,,691.8,0.01,684.88,139.76,15.3,Medium,Tina Brown,
O-8994,2025-03-24,C-3857,Lot Pro,Furniture,Chairs,North America,Canada,Lake Justin,9.0,128.71,0.13,1007.8,267.36,32.94,High,,W1
O-7715,,C-4292,,Furniture,Chairs,Asia,Japan,Phillipsland,1.0,452.1,0.14,388.81,38.92,21.46,Low,David Diaz,W1
,2024-08-02,C-8537,Attention Mini,Electronics,Tablets,Europe,,Castanedaton,8.0,789.67,0.27,4611.67,1355.41,9.75,High,Roberto Alexander,W4
O-2173,2024-10-03,C-7932,Boy X,Furniture,Tables,,USA,New Rebecca,4.0,441.63,0.13,1536.87,273.66,49.36,Low,Teresa Lowery,W3
O-3978,2025-03-23,C-6113,Hand X,Apparel,Shirts,Asia,India,,13.0,909.7,0.09,10761.75,1405.15,18.8,Low,Jennifer Joseph,W3
O-9919,2024-10-11,,Member X,Electronics,Laptops,Asia,China,Morrisonhaven,,902.34,0.23,694.8,116.41,,Medium,Cynthia Thornton,
O-6532,2025-02-11,C-9828,Listen X,Electronics,Phones,Europe,,Lake Angelastad,14.0,873.15,0.12,10757.21,1662.87,21.63,Medium,Cindy Perry,W2
O-4245,2025-06-12,C-4401,Onto Plus,Furniture,Tables,Europe,,,,466.29,0.08,428.99,47.68,14.78,Low,,W3
O-9959,2025-05-22,C-9324,Firm Plus,Electronics,Tablets,North America,Canada,South Aprilchester,11.0,533.55,,5869.05,1420.1,14.92,Medium,,
O-4640,2024-11-13,C-4112,Contain Plus,Electronics,,Europe,France,Walkerview,6.0,694.49,0.12,3666.91,889.87,27.63,Low,Jason Jackson,W4
O-4112,2025-06-18,C-5587,Form X,Electronics,Tablets,North America,Canada,Samuelside,13.0,,0.19,0.0,0.0,21.47,Low,Timothy Scott,W2
O-3545,2024-12-05,C-8517,Pm X,Furniture,Sofas,Europe,UK,Juliemouth,17.0,97.4,0.03,1606.13,342.65,46.54,,,W4
O-5350,,,About Pro,Apparel,Jackets,North America,USA,,7.0,751.73,0.05,4999.0,1240.73,38.79,Low,,
O-3255,2025-06-16,C-1296,Door Plus,,Laptops,Asia,Japan,West Heather,,93.52,0.08,86.04,21.94,,High,Ethan Lowe,W4
O-1793,2025-01-28,C-6348,There Plus,Electronics,Tablets,Europe,UK,Tracyberg,10.0,,0.04,0.0,0.0,36.87,,Maurice Maldonado,W1
O-2849,2025-04-17,C-2854,Seek Mini,Apparel,Shoes,Asia,India,Youngfurt,12.0,925.51,,11106.12,1461.73,13.77,High,Vanessa Jones,W4
O-1078,2024-12-08,C-4605,Treatment Plus,Furniture,Tables,Europe,Germany,Bowmanchester,17.0,89.86,,1527.62,363.95,23.64,High,,W2
O-7589,,C-9212,System Mini,,,,China,Katherineside,4.0,418.65,,1674.6,410.25,46.62,,Jay Irwin,W3
,2025-04-30,C-1825,Evidence X,Apparel,Jackets,Europe,Germany,,15.0,719.2,0.12,9493.44,1889.45,19.18,High,Sean Cherry,
,2025-04-16,,Worker X,Electronics,Phones,North America,Canada,Francesside,15.0,669.86,0.18,8239.28,1724.61,29.18,Low,Rebecca Anderson,W4
O-7630,2025-04-07,C-7981,,Apparel,Jackets,,India,West Theresa,16.0,122.34,0.05,1859.57,543.61,13.33,Medium,Stephen Vega,W1
O-2146,2024-08-30,C-2540,Never Mini,Electronics,Phones,North America,USA,Matthewland,8.0,,0.01,0.0,0.0,15.61,Low,Justin Pena,W4
O-6998,2025-02-12,C-5738,,Furniture,Chairs,North America,USA,Bradleyport,10.0,188.14,0.26,1392.24,353.85,,,Samantha Brown,W4
O-9231,2025-01-02,C-9224,Foot X,Electronics,Phones,,India,Toddfort,,333.12,0.29,236.52,47.61,22.93,High,,W1
O-8062,2025-05-14,C-7104,Ready Pro,Electronics,Phones,North America,Canada,Lake Kristopherton,,179.63,0.22,140.11,26.17,49.7,Medium,Patrick Lewis,W3
O-4436,2025-05-28,C-9423,,,Phones,,China,Erinbury,12.0,517.6,0.02,6086.98,1738.41,40.94,High,Michelle Hawkins,W3
O-1226,2025-04-09,C-7610,Begin Mini,Apparel,Shirts,Asia,India,New Danny,,516.47,,516.47,103.86,36.03,Medium,Hector Mcneil,W1
O-2673,2025-02-27,,Music Mini,Electronics,Laptops,Asia,Japan,North Caleb,5.0,866.54,,4332.7,794.48,10.87,High,Marissa Combs,
O-3508,2024-08-19,C-2643,Agree X,Apparel,Shoes,North America,Canada,Port Chelseybury,5.0,101.02,,505.1,98.81,29.28,High,,W4
O-9093,2025-03-08,C-9815,Piece Plus,Electronics,Laptops,Europe,Germany,New Davidfurt,15.0,403.61,0.05,5751.44,1273.39,15.04,Medium,Nathan Peterson,W3
O-2496,2025-02-02,C-1409,Evening Plus,Apparel,Jackets,Europe,France,Lake Jeremy,13.0,447.88,0.26,4308.61,438.77,43.37,,Amy Gibson,
O-2132,2024-12-24,C-7451,Think X,Apparel,Shirts,Europe,UK,North Katherine,3.0,623.31,0.2,1495.94,284.42,,Low,Lori Bright,
O-2421,2025-05-27,C-6993,Behind Plus,Apparel,Shirts,Asia,Japan,Nobleland,12.0,267.52,0.04,3081.83,866.97,19.23,Low,Katelyn Donovan,W2
O-9709,2024-11-10,C-5270,Those Pro,Electronics,Phones,North America,USA,West Kevinbury,10.0,387.48,0.22,3022.34,303.19,46.91,Medium,Derek Johnson,W3
O-6160,2024-10-26,C-2033,Watch Plus,,Sofas,Asia,Japan,New Martin,10.0,389.65,0.13,3389.95,504.74,26.8,Low,Frank Adams,W2
O-9768,2025-06-21,C-3307,Off Mini,Electronics,Phones,North America,Canada,,9.0,971.94,0.07,8135.14,994.94,21.35,Medium,Mary Jenkins,W1
O-2490,2025-04-01,C-4944,Most Pro,Electronics,Laptops,Asia,India,New Robert,2.0,658.42,0.3,921.79,162.58,30.59,Low,James Jones,W4
O-1148,2024-09-16,C-7539,Them Plus,Furniture,Tables,North America,USA,Port Jacobhaven,2.0,982.23,0.03,1905.53,326.65,19.03,Medium,Kenneth George,W3
,,C-9736,Worker X,Electronics,,Asia,India,North Jamie,7.0,590.39,0.1,3719.46,1093.42,48.96,Medium,,W4
O-9916,,C-1956,Worry Plus,Electronics,,North America,USA,Kingview,12.0,315.45,,3785.4,834.75,38.4,Medium,Jamie Mccullough,W3
O-4025,2025-05-13,C-4122,Maintain Pro,Apparel,Shoes,North America,Canada,West Sheriborough,2.0,851.04,,1702.08,230.65,43.81,High,,W4
O-6017,2024-09-29,C-5518,Trade Plus,Furniture,Chairs,,Canada,,13.0,,0.07,0.0,0.0,28.53,Medium,James Burns,W2
O-4814,,C-3896,Away Plus,Electronics,Phones,North America,Canada,Zacharyborough,14.0,15.73,0.19,178.38,19.43,26.48,High,Erin Kelly,W1
O-9681,2024-09-08,C-5746,National Pro,Furniture,Chairs,North America,Canada,New Rhondaville,19.0,304.36,0.18,4741.93,790.93,37.31,Medium,Shelly Lopez DDS,W3
O-1308,2025-02-07,C-7145,Ball X,Apparel,Shirts,,Japan,Maynardport,5.0,95.06,0.28,342.22,43.94,,Low,,W4
O-9159,2024-08-19,C-9130,Hit Plus,,Tables,Asia,Japan,West Rachel,9.0,31.64,0.05,270.52,39.41,32.91,High,Christine Mills,W1
O-8880,2025-01-24,C-5707,Father Plus,Apparel,Shoes,North America,USA,Port Sandraville,8.0,736.05,0.07,5476.21,1365.36,44.74,High,,W4
,2025-03-07,C-5248,,Apparel,Jackets,North America,Canada,Cervantesville,18.0,23.89,0.14,369.82,107.96,18.68,High,,W4
O-9566,2025-02-11,,Road Pro,Electronics,Tablets,Asia,Japan,Transhire,18.0,565.98,,10187.64,1526.58,21.2,High,,W1
O-6219,2024-08-09,C-5129,Everyone Plus,Furniture,,Europe,Germany,Jamesville,4.0,38.24,0.17,126.96,17.7,,,Megan Edwards,W1
O-1317,2024-09-19,C-5646,Professor X,Furniture,Chairs,Europe,UK,Coxfurt,7.0,189.79,0.04,1275.39,278.26,7.27,High,Kimberly Lindsey,W1
O-1669,2025-01-09,C-9593,Something Plus,Furniture,Chairs,Europe,UK,Port Jeffrey,7.0,478.1,0.04,3212.83,563.43,9.35,Medium,Chad Hogan,W1
O-3737,2024-09-30,C-3841,Agree X,Apparel,Shoes,Europe,UK,East Autumnmouth,6.0,470.65,0.29,2004.97,456.77,42.39,High,Timothy Clark,W1
,2025-04-28,C-9283,Pm Pro,Apparel,Shoes,Europe,UK,,13.0,954.84,0.0,12412.92,3152.01,24.43,High,Brandon Aguilar,W1
O-8302,2024-08-17,,Page Pro,Apparel,Jackets,Europe,Germany,Smithburgh,11.0,181.07,0.08,1832.43,235.36,21.41,High,Joshua Hicks,W2
,2025-01-23,C-4680,Act Pro,Furniture,Chairs,Asia,,Anthonyville,,236.42,0.11,210.41,39.25,9.27,,Brandi Mendoza,W2
,2025-03-29,C-2947,Key Mini,Electronics,Laptops,Europe,Germany,West Johnnymouth,,706.28,0.16,593.28,122.07,23.02,,Jessica Lopez,W3
O-4456,2025-02-05,C-4157,Green X,Furniture,Tables,Asia,China,,5.0,448.37,0.16,1883.15,468.38,42.88,Medium,Tyler Rivas,W2
O-3767,,C-5395,Simple Plus,,Laptops,North America,Canada,Port Jenniferfurt,8.0,574.88,0.03,4461.07,642.24,5.76,,Makayla Kennedy,W3
O-6869,2024-10-04,C-5278,Room Plus,Electronics,Laptops,Asia,India,Cynthiabury,13.0,405.23,0.14,4530.47,582.18,25.73,Low,Tara Burton,W3
O-7695,2025-04-13,C-4157,Become X,Apparel,Shirts,Asia,China,Carrillofort,8.0,783.74,0.29,4451.64,982.12,47.06,Medium,Margaret Vazquez,W1
O-4634,2024-11-10,C-9803,Whom Plus,Furniture,Chairs,Asia,Japan,South Douglasfurt,15.0,584.34,0.3,6135.57,1623.07,41.02,High,Robert Chen,W3
O-8958,2025-03-28,C-7456,Yet Mini,Electronics,Tablets,Asia,India,Johnview,4.0,440.53,0.06,1656.39,197.95,,High,Amy Morgan,W1
O-8233,2025-04-05,C-4176,Perform Pro,Electronics,Laptops,North America,Canada,East Michaelmouth,5.0,244.36,0.12,1075.18,298.98,27.2,Low,Sandra Carr,
O-3995,2024-08-22,C-9644,Lose X,Electronics,,North America,Canada,Gonzalezmouth,3.0,140.75,0.29,299.8,33.16,17.9,Medium,Richard Baker,W1
O-7227,,C-1595,Position Mini,Electronics,Tablets,Europe,France,North Cassidymouth,1.0,982.37,0.11,874.31,194.72,26.11,Medium,Diana Fox,W3
O-3224,2025-01-05,C-8361,Find Mini,Apparel,Shirts,North America,USA,Carrollbury,14.0,174.6,0.2,1955.52,395.69,30.01,Medium,,W3
O-7292,2025-06-25,,,Furniture,Tables,North America,USA,South Erika,5.0,859.02,0.12,3779.69,1071.1,31.81,Medium,Luis Hernandez,
O-4917,2025-06-21,C-7784,Work X,Apparel,Shoes,,Canada,Pricebury,,113.45,0.1,102.11,16.31,,Medium,Kristina Lara,W2
O-4804,2024-09-19,C-2851,Smile Plus,Electronics,Phones,Europe,Germany,Kirbytown,8.0,,0.26,0.0,0.0,6.9,Medium,Laurie Brown,W4
O-8523,2025-01-07,,,Electronics,Laptops,Asia,China,East Davidmouth,11.0,244.48,0.16,2259.0,484.43,40.74,Low,Melissa Lamb,W4
O-8184,2024-08-31,C-8331,Piece Mini,Electronics,Laptops,North America,Canada,East Dawnton,4.0,347.79,0.01,1377.25,354.53,5.99,Low,Natalie Johnson,W3
O-7592,2024-08-28,C-1416,Resource Pro,Electronics,Tablets,Asia,India,Adamsshire,8.0,903.68,0.09,6578.79,868.33,42.27,,Gregory Barnett,W1
O-5784,2024-08-25,C-2602,Month Pro,Furniture,Chairs,,India,,7.0,248.31,0.12,1529.59,215.22,,Low,Pam Jones,W1
O-6321,2024-12-25,C-4159,Amount Mini,Apparel,Jackets,,UK,North Maryton,6.0,424.77,0.25,1911.46,553.6,40.71,Low,Melissa Bolton,
O-2591,2025-06-12,C-8591,,Electronics,Laptops,Asia,China,North Ann,5.0,180.88,0.07,841.09,113.58,41.15,High,Daniel Hull,W1
O-7415,2025-04-06,C-1438,General X,Electronics,Laptops,Asia,India,Baileyton,10.0,173.43,0.22,1352.75,386.87,23.02,Medium,Meghan Williamson,W3
O-7971,2025-01-19,C-5812,Mrs Plus,Electronics,Tablets,North America,Canada,Kennedyberg,16.0,797.92,0.17,10596.38,1901.57,45.81,Low,Arthur Carpenter,
O-7451,2025-06-13,C-8798,High Pro,Furniture,Chairs,Europe,Germany,Jasonton,13.0,254.42,0.19,2679.04,617.02,13.19,Low,Kayla Shea,W4
O-3202,2024-10-05,C-2942,Manager X,Furniture,Sofas,Europe,France,East Taylor,1.0,738.44,,738.44,135.67,40.12,Low,Jennifer White MD,W3
O-9715,2024-08-07,C-4591,Month X,Electronics,Tablets,Asia,India,South Vanessa,13.0,930.51,0.29,8588.61,2268.05,26.44,High,Michael Beard,W1
O-8983,2025-01-20,C-2260,He Mini,Furniture,Tables,North America,Canada,Port Gregoryberg,20.0,720.19,0.24,10946.89,1114.9,27.51,Low,Dana Freeman,W2
O-2413,2025-05-16,C-3088,Quality Pro,Furniture,Tables,Asia,,Allenfort,17.0,484.4,0.27,6011.4,881.02,11.97,Medium,Robert Mills,W3
O-3242,2025-05-10,C-2119,Something Plus,Electronics,Phones,Asia,China,East David,12.0,734.12,0.16,7399.93,1294.03,10.09,,Nicholas King,W2
O-2175,2024-10-13,C-9904,Half Plus,Electronics,Laptops,Asia,China,New Jeffrey,18.0,421.85,,7593.3,1888.39,39.51,High,,W3
O-9623,2025-01-15,C-5321,Contain Plus,Furniture,Sofas,North America,Canada,East Jenniferfort,2.0,,0.07,0.0,0.0,48.41,,Lisa Richmond,W1
O-1802,2024-10-03,C-9840,Yard Pro,Apparel,Jackets,North America,USA,South Christine,8.0,106.9,0.25,641.4,174.14,,Medium,,W2
,2025-02-11,C-2408,Range X,Electronics,Tablets,Europe,France,Allenshire,,34.57,0.04,33.19,8.61,26.55,,Megan Stewart,W3
O-9590,,C-8261,Contain Plus,Furniture,Chairs,North America,Canada,South Tina,,463.29,0.14,398.43,81.89,17.56,Medium,,W2
O-7463,2024-10-26,C-1671,,Electronics,Laptops,Asia,China,East Amandafurt,14.0,984.42,0.06,12954.97,3310.81,31.98,High,Amanda Merritt,
O-7177,2025-05-11,C-1368,Always Pro,Electronics,Phones,Europe,France,East Ashley,20.0,24.61,0.16,413.45,73.11,49.3,Medium,Carlos Stephens,W1
,2024-08-16,C-2780,,Apparel,Jackets,Europe,,Juarezstad,4.0,829.27,0.18,2720.01,663.96,,High,Steven Little,
O-3887,2025-06-09,C-4422,Wrong Plus,,Tables,Europe,France,East Whitneyberg,19.0,160.13,,3042.47,679.59,,Low,Johnathan Spencer,W4
O-7291,2025-06-21,C-1745,Small Mini,Furniture,Sofas,Asia,India,Wilsonfurt,16.0,334.6,0.05,5085.92,1039.6,39.73,Medium,Jose Soto,W2
O-4924,2024-09-08,C-7143,Economic X,Apparel,Shoes,Europe,,East Ruth,11.0,928.77,0.09,9296.99,2778.09,40.2,Low,Jason Hernandez,W4
O-9954,2025-01-26,C-4020,Door Pro,Furniture,Tables,North America,Canada,Sancheztown,,340.97,0.21,269.37,48.48,10.09,Medium,James Henry,W2
O-8347,2024-10-13,C-3145,,Apparel,,Europe,UK,Emilybury,7.0,387.97,0.18,2226.95,402.57,18.77,High,Beth Harrington,W3
O-2672,2025-05-17,C-1493,Little Plus,,Tablets,Asia,Japan,Port Carolynburgh,19.0,454.8,0.04,8295.55,2230.61,28.63,,Crystal Burch,W4
,2025-02-02,C-9178,Write X,,Chairs,North America,USA,,17.0,921.02,0.17,12995.59,1807.98,32.36,,Tiffany Torres,W2
O-6795,2024-11-21,,Firm X,Electronics,Phones,Europe,Germany,Port Teresaton,14.0,790.81,0.23,8524.93,1207.52,42.32,High,Sandra Romero,W4
,2025-04-17,C-8225,Design Mini,Furniture,Sofas,North America,USA,Port Lauren,6.0,751.47,0.21,3561.97,490.39,27.6,Low,Duane Burns,W1
O-6247,2025-04-06,C-1142,,Apparel,Jackets,North America,Canada,Castanedaton,20.0,755.86,0.14,13000.79,3077.91,6.7,Medium,Rodney Gomez,W2
O-2692,2024-11-14,C-7812,Almost Mini,Electronics,,Europe,Germany,Murphymouth,15.0,326.13,0.03,4745.19,1405.68,25.83,High,Chad Burke,W3
O-2675,2024-09-28,C-3150,Blue Plus,Furniture,Sofas,North America,USA,Bennettville,8.0,515.39,0.16,3463.42,846.77,9.82,High,Andrew Ramirez,W1
O-1724,2024-08-24,C-2203,Hundred Plus,Electronics,Phones,North America,USA,New Christinetown,4.0,947.94,0.15,3223.0,953.69,13.95,High,Kurt Stewart,W1
O-1337,2024-12-20,C-7331,Forward Pro,Furniture,Chairs,Asia,Japan,Sharonberg,16.0,,0.1,0.0,0.0,,High,Miss Susan Bailey,W2
O-2296,2024-12-20,C-2562,She Mini,Apparel,Shoes,Asia,China,Brooksside,19.0,212.34,0.27,2945.16,536.29,11.59,Medium,Nicole Mcdaniel,
O-2761,2025-06-26,C-3193,Car Mini,Furniture,Sofas,,China,Gardnerborough,8.0,363.19,0.12,2556.86,588.44,,High,Olivia Henderson,W4
O-4780,2024-11-27,C-5705,Live Mini,Apparel,Shoes,Europe,UK,Hernandeztown,8.0,64.4,0.16,432.77,80.68,10.8,High,Elizabeth Graham,W1
O-1326,2025-04-20,C-9035,Nice Plus,Furniture,Tables,Europe,Germany,Deanstad,1.0,541.91,0.23,417.27,93.16,8.11,,Paul Smith,W1
O-6989,2025-04-11,C-3814,Window X,Furniture,Chairs,,UK,East Trevor,7.0,291.81,0.03,1981.39,293.68,34.18,,Deborah Choi,W1
O-8767,2025-02-24,,Model Mini,Apparel,Jackets,,India,Port Brandyhaven,18.0,,0.27,0.0,0.0,9.86,Low,,W1
O-9671,,,Individual Mini,Furniture,Sofas,Asia,China,North Melissaport,7.0,892.71,0.21,4936.69,1122.92,,Low,Joshua Farrell,W4
O-6920,2024-07-28,C-9535,Himself Pro,Electronics,Phones,North America,USA,Paulaborough,12.0,527.66,,6331.92,1127.12,46.02,Medium,Patricia Bowers,W4
O-7512,2025-06-11,C-3774,Argue Plus,Apparel,,North America,USA,Michelleside,4.0,957.36,0.09,3484.79,1035.63,39.79,,,W1
O-9595,2025-02-01,C-6785,Size Mini,Electronics,Tablets,Asia,China,Stoutton,16.0,910.81,0.27,10638.26,1726.93,26.88,Low,Frank Brown,W3
O-6161,2025-05-10,C-3811,Move X,Electronics,Phones,Asia,Japan,Markside,15.0,176.8,0.0,2652.0,791.4,15.28,High,,
O-4548,2025-04-16,C-5939,,Furniture,Chairs,North America,Canada,,10.0,,0.29,0.0,0.0,41.68,Medium,Gene Coleman,W4
O-4328,2025-05-24,C-2948,Window Mini,Apparel,Jackets,Europe,Germany,,14.0,774.86,0.02,10631.08,2537.56,46.0,High,Cynthia Valencia,W3
O-6930,2024-09-29,C-6757,Throughout Mini,,,Asia,China,South Andrew,7.0,642.34,0.07,4181.63,1039.12,49.23,,Michael Sanders,W2
O-7144,2025-01-15,C-3430,To Mini,Apparel,Shirts,Europe,UK,Jessicaside,15.0,23.35,0.21,276.7,63.29,47.24,High,Hayley Wilson,W4
O-9765,2024-08-20,C-7435,Could Mini,Furniture,Sofas,North America,USA,,17.0,788.39,0.01,13268.6,2834.32,,Medium,Lance Norris,
O-9642,2025-04-15,C-8476,Score Plus,Electronics,,Asia,India,,5.0,638.58,0.25,2394.68,524.31,12.7,Medium,Charlotte Lewis,W4
O-2336,2025-06-30,,Source Plus,Apparel,,Europe,France,Cynthiachester,18.0,667.12,0.27,8765.96,1261.65,21.32,Medium,Michael Young,
O-7429,2025-02-10,,High Pro,Electronics,Laptops,North America,USA,Ryanport,9.0,994.09,0.08,8231.07,1105.48,10.99,High,Caleb Gonzalez,W2
,2025-03-04,C-3255,Argue Pro,Furniture,Tables,North America,USA,Thompsonberg,2.0,616.94,0.18,1011.78,166.5,13.58,Medium,,W4
O-3744,2024-10-20,,At Pro,Apparel,Shirts,Asia,Japan,North Brianmouth,9.0,,,0.0,0.0,16.99,Low,,W1
O-1097,2024-09-09,C-4343,Middle X,Apparel,Jackets,Europe,UK,Perrymouth,19.0,199.5,0.09,3449.36,589.73,9.74,High,Michael Pierce,W2
O-3834,2024-12-19,C-6118,Reduce Plus,Furniture,Sofas,North America,USA,Adamsview,8.0,854.24,0.26,5057.1,532.5,15.41,Low,Michael Rose,W1
O-9901,2025-05-04,,I Pro,,Laptops,Europe,France,,2.0,946.0,0.24,1437.92,248.33,25.11,Medium,Judith Arnold,W4
O-8257,2025-07-07,C-9899,Race Mini,Electronics,Laptops,,USA,Jamesside,5.0,304.71,0.2,1218.84,322.2,16.87,Low,Jonathan Horne,W2
,2025-01-07,C-7634,Six Plus,Apparel,Shoes,Asia,Japan,Brittanyland,,748.34,0.24,568.74,96.87,18.53,Low,Miguel Robinson,W3
O-7339,2024-08-11,,College Plus,Apparel,Shirts,Asia,,Jacksonview,17.0,346.69,0.22,4597.11,1259.73,29.96,Medium,Mariah Carroll,W2
O-2204,2025-02-20,C-9884,Outside X,Furniture,Sofas,Asia,Japan,South Brianna,10.0,502.0,0.18,4116.4,1064.82,37.77,High,Cameron Sanchez,W4
O-7633,2025-06-25,C-2790,News Plus,,Laptops,North America,,,14.0,228.39,0.2,2557.97,744.05,45.95,High,Susan Li,W2
O-7873,2025-04-17,C-3331,Type Pro,Electronics,Tablets,,UK,Port Nancy,4.0,826.39,0.2,2644.45,359.13,24.85,Medium,Mary Maxwell,W3
O-4532,2025-03-04,C-1987,Several Mini,Furniture,Sofas,North America,,Laurafurt,10.0,275.87,0.13,2400.07,530.65,5.95,High,Jorge Fisher,W4
O-1561,2025-01-23,C-8311,Per Plus,Electronics,Tablets,Asia,India,Reynoldston,11.0,103.82,,1142.02,310.44,36.52,Low,Christina Jenkins,W3
O-9189,2024-12-10,C-7525,Experience X,Electronics,Tablets,North America,USA,Davishaven,3.0,,0.18,0.0,0.0,8.54,Medium,Frederick Brown,W3
O-2125,2025-01-30,C-4293,Clearly Plus,Electronics,,Asia,,Lake Alicia,12.0,418.2,0.05,4767.48,945.91,,High,Karen Myers,W4
O-8832,,C-1984,Yeah Pro,Apparel,Jackets,Asia,Japan,South Kellyton,13.0,76.74,,997.62,162.04,5.51,Medium,Mariah Davis,W1
O-9518,2025-07-18,C-2515,Ahead Pro,Electronics,,North America,Canada,,10.0,851.01,0.24,6467.68,740.48,10.01,Medium,Kayla Williamson,W3
O-5378,2025-04-23,C-1053,Hear Pro,Furniture,Tables,Europe,UK,East Cassidy,20.0,181.15,0.15,3079.55,382.67,16.81,Low,,W3
